Name,Price,Adress,img_link
Cheval,450000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4029054_uploaded_image1_1672496527.jpg
Oies de garde,200000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4033376_uploaded_image1_1672817271.jpg
Perruches,30000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4194617_uploaded_image1_1682759209.jpg
Dindons,175000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4056115_uploaded_image1_1674103633.jpg
Canards,20000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4056116_uploaded_image1_1674103896.jpg
Poussin dinde rouge,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4794677_uploaded_image1_1718313441.jpg
Chaton angora,180000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4102298_uploaded_image1_1676900131.jpg
Chats siamois himalayen,300000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4102440_uploaded_image1_1676904996.jpg
Chèvre sahelienne,180000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4103018_uploaded_image1_1676929679.jpg
Hamster dorée,15000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4110101_uploaded_image1_1677403384.jpg
Chatte persane himalayenne,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4140736_uploaded_image1_1679260998.jpg
Canard colvert,32500,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4141195_uploaded_image1_1679311407.jpg
Perroquet,35000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4185842_uploaded_image1_1682102205.jpg
Couple Hamster,45000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3779809_uploaded_image1_1657474571.jpg
Dindes,100000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4169875_uploaded_image1_1681057517.jpg
Dindes,100000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4169875_uploaded_image1_1681057517.jpg
Dinde,45000,"Touba, Sénégal",https://images.coinafrique.com/thumb_4170236_uploaded_image1_1681079402.jpg
Chaton siamois,240000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4180282_uploaded_image1_1681738114.jpg
Couple de perruches,14900,"Thies, Sénégal",https://images.coinafrique.com/thumb_4180902_uploaded_image1_1681767382.jpg
