Name,Price,Adress,img_link
Chien Bijon Malté,210000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3012169_uploaded_image1_1616254703.jpg
Chiot couple teckel,200,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3023422_uploaded_image1_1616808652.jpg
Chiot pitbull,150,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_3025431_uploaded_image1_1616942140.jpg
Chiot Husky,450000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3032898_uploaded_image1_1617282596.jpg
Chien Berger Allemand,310000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4679501_uploaded_image1_1712415418.jpg
Chiot femelle Yorkshire,400000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3045523_uploaded_image1_1617806957.jpg
Chiot Berger Allemand,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4970950_uploaded_image1_1727800187.jpg
Chiot Berger Allemand,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4970950_uploaded_image1_1727800187.jpg
Chiot Boerboel,450000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3057395_uploaded_image1_1618335212.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiot Berger Allemand,150000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4884833_uploaded_image1_1723151589.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiots Pitbull,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4951773_uploaded_image1_1726751081.jpg
Chiots Pitbull,150,"Bargny, Sénégal",https://images.coinafrique.com/thumb_3085151_uploaded_image1_1619629177.jpg
Chiot berger allemand,250000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_3092060_uploaded_image1_1619960652.jpg
Chiot Labrador,350000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3756515_uploaded_image1_1656067446.jpg
Chien Pitbull,300000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3098650_uploaded_image1_1620217591.jpg
Chiot Berger Malinois,200000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4969271_uploaded_image1_1727731274.jpg
Chiens Berger Allemand,100000,"Thies, Sénégal",https://images.coinafrique.com/thumb_3121248_uploaded_image1_1621346709.jpg
Chiots malinois,280000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4118286_uploaded_image1_1677846223.jpg
Chiots tigrés,150000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_3130909_uploaded_image1_1621857767.jpg
Pitbul,120000,"Bargny, Sénégal",https://images.coinafrique.com/thumb_3137013_uploaded_image1_1622138411.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiots Berger Allemand,180000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_3671351_uploaded_image1_1651056079.jpg
Chiots Berger Allemand,180000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_3671351_uploaded_image1_1651056079.jpg
Chiots bichon malté,180000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3154816_uploaded_image1_1622898660.jpg
Chiot Berger Allemand,100000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4943304_uploaded_image1_1726252041.jpg
Chiot Labrador,300000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3157315_uploaded_image1_1623033828.jpg
Caniches Bichons maltais - 5 mois,125000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3159435_uploaded_image1_1623109995.jpg
Berger allemand,150000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4888701_uploaded_image1_1723387152.jpg
Chiot Berger Allemand,500000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5016564_uploaded_image1_1730217865.jpg
Chiot Berger Allemand,100000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4943304_uploaded_image1_1726252041.jpg
Chiot Doberman,450000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3189286_uploaded_image1_1624530960.jpg
